screen_name,text
obedihs,b'rt @ernest_rw: this electric car charges faster than your smartphone! 45 minutes for 80% charge for an entire car!  #rwanda #rwot @vwrwanda\xe2\x80\xa6'
marco1_ian,"b""rt @drivetribe: who's excited?\xf0\x9f\xa4\x94  https://t.co/qrq5uatlv5+"""
clartejean,"b""can other countries catch up with china's electric car dominance? https://t.co/uhmpickkbz"""
sultankeith,b'the only thing we are consistent about is parte after parte @pyeparfaisal'
zlupperii,"b""i do think it's time for me to kill myself."""
uwitonzeemmarws,"b'rt @hodali77: in the same month this happened in #rwanda: - the first smartphone ""made in africa"" was released in #rwanda. - the first elec\xe2\x80\xa6'"
sexo,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
nwbattery,"b'every day, golf car and electric vehicle manufacturers are integrating technology advancements requiring more power\xe2\x80\xa6 https://t.co/qqsqcvqhsx'"
emjaguarbahrain,b'rt @jaguarmena: our first virtual all-electric sports car - the #jaguarvisiongtcoup\xc3\xa9 - is the latest addition to the globally-renowned @pla\xe2\x80\xa6'
7ensions,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
robingwinnett,b'@rob_cfrmanager i\xe2\x80\x99m about to press go on our first (for a long time) petrol driver trining car... not quite ready f\xe2\x80\xa6 https://t.co/qxzqw3uwvu'
ashleyboylenews,b'drivers with electric cars are to have green number plates which could give them access to bus lanes and parking fo\xe2\x80\xa6 https://t.co/xupaehyoza'
dlidli127,"b'rt @theroyaldutch_: @grandayy @elonmusk @mkbhd @mrbeastyt elon musk to plant first tree on mars, calling it now. first he launches an elect\xe2\x80\xa6'"
adilg,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
heatherdawnper1,b'rt @mrneffels: i swear they forget tesla has been building better evs for past 8~ years than any car company is releasing today https://t.c\xe2\x80\xa6'
kamelrahmati,"b'rt @fordcanada: #watch: the future arrives on nov. 17 as our all-electric, mustang-inspired suv takes shape. \xe2\x9a\xa1\xef\xb8\x8f\xf0\x9f\x94\x8c\xf0\x9f\x90\x8e https://t.co/328bqu0iyy'"
sprcdrsmr012917,"b'rt @kpconservative: 50% of an electric car is plastic.  you can\xe2\x80\x99t make a battery without oil and gas.  oh, and 60% of all us electric is ge\xe2\x80\xa6'"
lcvoters,"b"".@senschumer's clean cars for america climate plan would accelerate the transition to net-zero carbon emissions by\xe2\x80\xa6 https://t.co/ro5kac48f6"""
teixeiracsar3,"b""can other countries catch up with china's electric car dominance? https://t.co/nf1rolvklw"""
funnyviness,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
ade_colline,"b'rt @theroyaldutch_: @grandayy @elonmusk @mkbhd @mrbeastyt elon musk to plant first tree on mars, calling it now. first he launches an elect\xe2\x80\xa6'"
guardianfireirl,b'preparing car parks for the risks of charging electric vehicles https://t.co/izxtuajgg5'
8bitporn,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
youngmach888,"b""@tedkadel @ilhanmn i'm not going to do your research for you. but china is investing a lot in becoming the world's\xe2\x80\xa6 https://t.co/gaqzuezfqm"""
thetimeigothigh,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
rubyanonuevo3,"b'rt @bettybeth4: the ultimate concept car will move so fast, even at rest, as to be invisible #thekillerbriderushhour'"
jhennsygn,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
yorkshire_en,"b'work has started on the \xc2\xa32.4 million refurbishment, which will see the retailer, based on king\xe2\x80\x99s road, undergo a co\xe2\x80\xa6 https://t.co/cpfxyywwzh'"
24m_tech,"b'with #battery \xf0\x9f\x94\x8b costs continuing to \xe2\xac\x87\xef\xb8\x8f drop, #ev \xf0\x9f\x9a\x97 adoption among #millennials and #genz could be on the \xe2\xac\x86\xef\xb8\x8f rise.\xe2\x80\xa6 https://t.co/vf0wuzlyf5'"
cllrstevef,b'did you know you get a grant to put in a home fast charger if you purchase or lease a new car.  an electric car.'
tsport100,"b'rt @24m_tech: with #battery \xf0\x9f\x94\x8b costs continuing to \xe2\xac\x87\xef\xb8\x8f drop, #ev \xf0\x9f\x9a\x97 adoption among #millennials and #genz could be on the \xe2\xac\x86\xef\xb8\x8f rise. https://t.c\xe2\x80\xa6'"
familyguyclipz,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
steedmrspeel,"b""rt @drivetribe: who's excited?\xf0\x9f\xa4\x94  https://t.co/qrq5uatlv5+"""
bevan46,"b""rt @allafrica: volkswagen's electric car launched in rwanda @newtimesrwanda : https://t.co/rauh3obqoz #rwanda @vwrwanda  @siemens #rwot #in\xe2\x80\xa6"""
gianarenegade,b'rt @davidhimbara: \xe2\x80\x9ckagame\xe2\x80\x99s rwanda saw an electric car for first time in 2019\xe2\x80\x9d by david himbara https://t.co/pewwuhbe9e'
itsxxxwords,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
satisfyingloops,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
carsbazr,"b'promo deals\xf0\x9f\x94\xa5 car loan available  brand: mercedes benz  model: ml 350 year: 2011 price: 3,645,961 naira grade: c tra\xe2\x80\xa6 https://t.co/9ejj3xjkab'"
mercedesintheam,"b""here's #whatstrending!  #worldseries #narcissist #riseandshine #facebook #instagram  https://t.co/hzk8pbye4f"""
mix941,"b""here's #whatstrending!  #worldseries #narcissist #riseandshine #facebook #instagram  https://t.co/x0cjarup0g"""
sillyprofessor,"b'@kicking8 @zachary1978 @nytimes i rode a tesla and drove one once. impressed by the concept and idea of the car, bu\xe2\x80\xa6 https://t.co/ag9bjkdncw'"
funnybrawls_,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
ivyleaguebabes,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
nojokepro,"b'@mmpadellan he looks like an earlier, twitchier model of human/robot hybrid'"
chirphard,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
ru4osu,"b'rt @kpconservative: 50% of an electric car is plastic.  you can\xe2\x80\x99t make a battery without oil and gas.  oh, and 60% of all us electric is ge\xe2\x80\xa6'"
unathi_kwaza,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
flocky14385685,"b'rt @africasustain1: rwanda\'s first electric car hits the road   ""officials at the firm say that more cars will join the market in the comin\xe2\x80\xa6'"
totaiiyamazings,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
powerev_uk,"b""rt @theipaper: 'i can charge my car in a sustainable way and still pay less than 2p per mile'  https://t.co/tg00ekpvag  #ad @octopusev @oct\xe2\x80\xa6"""
henryk_b_,b'rt @albertstienstra: blackouts: california\xe2\x80\x99s electric car dream turns into a nightmare  residents needing electricity for medical devices a\xe2\x80\xa6'
lillykk,"b'rt @kpconservative: 50% of an electric car is plastic.  you can\xe2\x80\x99t make a battery without oil and gas.  oh, and 60% of all us electric is ge\xe2\x80\xa6'"
gelaybandola,"b'rt @bettybeth4: the ultimate concept car will move so fast, even at rest, as to be invisible #thekillerbriderushhour'"
viatcheslavsos3,b'byd earnings drop 89% as china\xe2\x80\x99s electric-car market goes sour - bloomberg https://t.co/k5vsfw4pvj'
triode_,b'tesla model 3 survey: what owners think about the electric car https://t.co/howlv9c0id'
ruthaylett,"b""rt @mac123_m: \xe2\x9c\x85free prescriptions \xe2\x9c\x855,000 new gp's trained annually &amp; 27m extra appointments \xe2\x9c\x85 \xc2\xa310 living wage at 16  \xe2\x9c\x85national network of e\xe2\x80\xa6"""
carsbazr,"b'hot new deal\xf0\x9f\x94\xa5 car loan available  brand: mercedes benz  model: c280 year: 2005 price: 1,300,000 naira  grade: c tra\xe2\x80\xa6 https://t.co/w9h4nivfnn'"
ladylisadcantu1,"b'rt @tnr_gold: #theswitch #evsmassmarket \xf0\x9f\x94\x8c\xf0\x9f\x9a\x98\xf0\x9f\x94\x8b #vw ramps up china electric car factories, taking aim at tesla | article [amp] | reuters https:\xe2\x80\xa6'"
strolltoitaly,"b""@telegraph i can't afford an electric car. i can afford a second hand diesel car."""
bikebikeyyc,"b'nice to hear that ebikes are being included.   as you can see in the chart below from calgary, the average daily di\xe2\x80\xa6 https://t.co/cxpc0sgm3m'"
khattiy74899201,"b'rt @julez_norton: here\xe2\x80\x99s the self-driving, electric, body-swappable car of the future #autonomousvehicles #automobile #artificialintelligen\xe2\x80\xa6'"
ktnnewske,"b'volkswagen in partnership with siemens launched their first electric car in rwanda, africa and targets kenya as a p\xe2\x80\xa6 https://t.co/kkcd8yir4g'"
mfoxhunter,b'sounds like leasing an electric car might be the way to go if their batteries have the life of 2 years!'
princeof_gotham,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
oddlypieasing,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
traveipage,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
olubenx10,"b'rt @carsbazr: hot new deal\xf0\x9f\x94\xa5 car loan available  brand: mercedes benz  model: c280 year: 2005 price: 1,300,000 naira  grade: c transmission:\xe2\x80\xa6'"
mon_stev,"b'rt @carsbazr: hot new deal\xf0\x9f\x94\xa5 car loan available  brand: mercedes benz  model: c280 year: 2005 price: 1,300,000 naira  grade: c transmission:\xe2\x80\xa6'"
kathy77711,"b'rt @kpconservative: 50% of an electric car is plastic.  you can\xe2\x80\x99t make a battery without oil and gas.  oh, and 60% of all us electric is ge\xe2\x80\xa6'"
zanetticartoons,"b""@rodsmith1961 @algore @simonahac @mcannonbrookes it's similar to the maths on an electric car - including initial i\xe2\x80\xa6 https://t.co/izgtjmtbxv"""
sexo,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
psirois,b'tesla model 3 survey: what owners think about the electric car https://t.co/23dt9lpcjz'
mon_stev,"b'rt @carsbazr: promo deals\xf0\x9f\x94\xa5 car loan available  brand: mercedes benz  model: ml 350 year: 2011 price: 3,645,961 naira grade: c transmission:\xe2\x80\xa6'"
jdjshhsjsjdk,b'@elonmusk pls send me a tesla i\xe2\x80\x99m broke but i can make a non electric car diss track if that covers it \xf0\x9f\x91\x80\xf0\x9f\x91\x80'
hsconfessionai,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
dathandsomejerk,b'rt @theelonews: tesla model 3 becomes first electric car approved as nyc yellow cab - electrek https://t.co/usp9q4sjew'
motivate,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
dondatamartin,"b'not sure which ucc model is best for you? see all the pros and cons of traditional on-premise, hosted cloud, and hy\xe2\x80\xa6 https://t.co/if46qywqcz'"
kainatumaliuan,b'rt @exquisitbeautyy: #thecosmocooler \xf0\x9f\x8c\xba \xe2\x9d\x84\xef\xb8\x8f keeps your products cool and refreshing \xe2\x9d\x84\xef\xb8\x8f prolong the shelf life of your expensive products \xe2\x9d\x84\xef\xb8\x8f p\xe2\x80\xa6'
dondatamartin,"b'not sure which ucc model is best for you? see all the pros and cons of traditional on-premise, hosted cloud, and hy\xe2\x80\xa6 https://t.co/dfppb7slf4'"
fat_valley,"b'\xf0\x9f\x93\x88\xf0\x9f\x93\x89wall street wednesday\xf0\x9f\x93\x89\xf0\x9f\x93\x88  \xf0\x9f\x92\xb8sleeper stock of the week \xf0\x9f\x92\xb8: (wkhs) workhorse group  \xf0\x9f\x92\xb0\xf0\x9f\x92\xb0opening today at 2.93, this elec\xe2\x80\xa6 https://t.co/zcqht0c1xg'"
electriccargb,"b'rt @kaluza_tech: ""theoretically you could see a future where every single [electric] car is a #battery for the #grid, with every house powe\xe2\x80\xa6'"
anielka_charret,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
theofficepicts,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
jaykay0071,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
julios1580,"b'rt @kpconservative: 50% of an electric car is plastic.  you can\xe2\x80\x99t make a battery without oil and gas.  oh, and 60% of all us electric is ge\xe2\x80\xa6'"
journohannah,b'rt @ashleyboylenews: drivers with electric cars are to have green number plates which could give them access to bus lanes and parking for f\xe2\x80\xa6'
donnaarchibal12,b'rt @viatcheslavsos3: byd earnings drop 89% as china\xe2\x80\x99s electric-car market goes sour - bloomberg https://t.co/k5vsfw4pvj'
bwahadenise,"b'rt @pyeparfaisal: we kicked off our \xe2\x80\x98electric car\xe2\x80\x99 project about 5 years ago yet in 1 year, rwanda has attracted vw industries who have now\xe2\x80\xa6'"
simonstein_,b'@miah_oj stop saving for that toyota camry and go for benz... all benz na benz \xf0\x9f\x98\x8f'
dimes,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
yung_nd_gifted,b'i\xe2\x80\x99m really thinking about going to automotive school because damn these cars always got something going wrong with\xe2\x80\xa6 https://t.co/lqtg0oifb3'
damico_honey,"b'we see what you ride around in hypocrite,your not in an electric car'"
buhera4,b'rt @africaupdates: how rwanda became the first african country to introduce volkswagen electric car https://t.co/av8rikpbkc'
calligraphytv,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
rumbles,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
edfenergy,"b""going electric doesn't mean you have to compromise. live life in the fast lane like @colinfurze. whatever your life\xe2\x80\xa6 https://t.co/wckbuvxzjy"""
percdude,"b'drive digital transformation with a hybrid cloud model combining #azure cloud convenience and datacenter control, s\xe2\x80\xa6 https://t.co/lnjc8cbgyp'"
ekriger,"b'the 1955 chevrolet biscayne concept car. the biscayne is a fibreglass, 4 door no post sedan with rear suicide doors\xe2\x80\xa6 https://t.co/bcwwev2wdy'"
nscitech,b'#mercedes-benz is busy testing the prototypes of the upcoming eqs luxury all-electric model photographers recently\xe2\x80\xa6 https://t.co/azmsq5gwae'
wisetech_,"b'imagine the satisfaction of driving your environmentally friendly electric car for 1,500 miles without having to st\xe2\x80\xa6 https://t.co/bfiav9cp5a'"
andrewharding4,"b'1) to all in the uk; the usa; india and canada reading ~ hwsnbn ~ free hybrid series spin-off on amazon, apple &amp; b&amp;\xe2\x80\xa6 https://t.co/bc11qv0bes'"
ernmander,b'shame the government can\xe2\x80\x99t get its act together on electric kick scooters #escooters'
thetimeigothigh,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
weepingjessica,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
tamethegorilla,"b'@jacquelyngill @ucsusa yes, how i wish i could afford a hybrid car, had usable public transportation, solar panels\xe2\x80\xa6 https://t.co/pywabhh4lv'"
toyotae_brne,b'thinking of going green? visit our website to view our range of hybrid offers: https://t.co/gsi8he9jlf https://t.co/3rn74usedx'
cahulaan,"b'faraday cage: can an electric car startup save itself from its founder? faraday future, once the most hyped electri\xe2\x80\xa6 https://t.co/vtifae25xr'"
democraticamer2,"b'rt @cahulaan: faraday cage: can an electric car startup save itself from its founder? faraday future, once the most hyped electric vehicle\xe2\x80\xa6'"
prcowboys,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
itsxxxwords,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
ziontechgroup,b'faraday cage: can an electric car startup save itself from its founder? continue reading\xe2\x80\xa6 https://t.co/c9t8gwph3c https://t.co/sxjnbgtm1o'
sexualgifs_,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
funnybrawls_,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
alykhansatchu,"b""it is meaningful. where xi is fed up and speaks about the ''the end of vanity'' because the roi [outside commoditie\xe2\x80\xa6 https://t.co/wbytc0x8ol"""
andrewharding4,b'***) ~ blog ~ the hybrid series ~ extreme breed of police ~ a necessity for mi5 ~ #thrillers #erotica ~ horror ~  https://t.co/pvuomfxnzj'
wecdata,b'only once at #fiawec shanghai has an lmp1 car won when starting off the front row of the grid - in 2017.  pole -\xe2\x80\xa6 https://t.co/fskkh0a4h9'
jfrancilus,"b""rt @caranddriver: here's every hybrid crossover and suv for 2019-2020: https://t.co/ecos80a358 https://t.co/vlekgwnr1n"""
porsche_sutton,b'our new car of the week is this stunning panamera 4 e-hybrid sport turismo! finished in jet black metallic and fitt\xe2\x80\xa6 https://t.co/tant4icu9x'
rashidshamim,"b""@mashable wait .. magnetic levitation !!  doesn't that require magnet on both sides, the car and the road ? video s\xe2\x80\xa6 https://t.co/gfmq6j3ji7"""
havsenergiman,"b'@hanseric @slottskogsgatan years back, vw group claimed they would be the leading electric car maker in 2018... tha\xe2\x80\xa6 https://t.co/aej2idgd9y'"
ladylisadcantu1,"b'rt @dragonev_: volkswagen ramps up china electric car factories, taking aim at tesla https://t.co/jrwxrhdisl'"
outerspacemanii,"b""@centsible hey i'd like to buy electric suv with 4x4  camper towing capabilities under $50,000 #lol"""
outerspacemanii,"b""rt @outerspacemanii: @centsible hey i'd like to buy electric suv with 4x4  camper towing capabilities under $50,000 #lol"""
anastac72674658,"b'rt @kpconservative: 50% of an electric car is plastic.  you can\xe2\x80\x99t make a battery without oil and gas.  oh, and 60% of all us electric is ge\xe2\x80\xa6'"
cox_jimi,b'we have to get in our car and leave the house?'
hardworkrr12,b'@thehooniverse based on my observations the hardest vehicle to operate is any toyota car in the fast lane. these pe\xe2\x80\xa6 https://t.co/zkwxeektga'
petronerd54,b'2 words before mustang that make me uncomfortable are electric* and suv*'
driveelectricus,"b'rt @masscec: ever wanted your car to be your oasis? with an electric car, you can #unplug literally and figuratively. make the switch with\xe2\x80\xa6'"
derektmckinney,b'\xf0\x9f\xa4\x93\xf0\x9f\xa4\x94\xf0\x9f\x91\x8d #knownews #tech faraday cage can an electric car s https://t.co/h8ded3z3zb'
relatablearts,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
tetsusept,b'rt @hitechgp: \xf0\x9f\x9a\xa8news: full 20-car grid revealed for fia inaugural motorsport games f4 cup    \xf0\x9f\x8c\x8e 20 national teams represented \xf0\x9f\x8f\x8e\xef\xb8\x8f brand new hy\xe2\x80\xa6'
thegod0fspeed,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
mr_king_ceo,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
rogeriolstival,"b'mini cooper se electric car starts as low as $17,900 (with incentives) in the us - electrek https://t.co/f19c0kqkuo'"
duranvlawson,b'oh dear! what do we have in store for us this weekend?! i can only assume that protesters will arrive on foot or by\xe2\x80\xa6 https://t.co/foynzni3qt'
carrejamie,"b'rt @goldentouch73: wow this is awesome.  this will help the pollution in nyc bigtime, if all the cabs convert. i work there in construction\xe2\x80\xa6'"
secrettime18,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
centrum41744522,"b""rt @mac123_m: @jeremycorbyn \xe2\x9c\x85free prescriptions \xe2\x9c\x855,000 new gp's trained annually &amp; 27m extra appointments \xe2\x9c\x85 \xc2\xa310 living wage at 16  \xe2\x9c\x85nationa\xe2\x80\xa6"""
dankneme,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
letsdroom,b'mercedes benz gle suv launch to mitsubishi m-tech hybrid concept reveal. droom autoshots got you all covered in jus\xe2\x80\xa6 https://t.co/9matpzxwmu'
traveipage,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
mkhululidubegm1,"b'rt @tshepo_kgadima: in the first instance, the term electric \xe2\x9a\xa1\xef\xb8\x8f car \xf0\x9f\x9a\x97 is misleading in the extreme. it\xe2\x80\x99s a battery \xf0\x9f\x94\x8b powered car! but, the\xe2\x80\xa6'"
tbstaytay,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
evk01_,b'this is just a mini fridge .....'
elonjpnews,"b'rt @wallpapermag: eight years on, tesla model s continues to break electric car convention https://t.co/3ebg4gttes'"
joelwakan,"b'rt @pyeparfaisal: we kicked off our \xe2\x80\x98electric car\xe2\x80\x99 project about 5 years ago yet in 1 year, rwanda has attracted vw industries who have now\xe2\x80\xa6'"
kochvsclean,"b'\xe2\x80\x9cthe problem is that his findings are bogus, because they asked highly biased questions designed to elicit highly m\xe2\x80\xa6 https://t.co/jtasqzun9n'"
oddlypieasing,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
guerillagirly1,b'i\xe2\x80\x99m looking for a new car. just took toyota off my list. @toyota'
cjdandyflipper,"b'rt @risefallnickbck: tooned out, a hybrid series by who framed roger rabbit director robert zemeckis comes to hbo max  synopsis: ""mac start\xe2\x80\xa6'"
worldofblog,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
orangebookvalue,b'mercedes benz gle suv launch to mitsubishi m-tech hybrid concept reveal. droom auto shots got you all covered in ju\xe2\x80\xa6 https://t.co/pjwplfustp'
andrewharding4,b'%8) my uk amazon author page ~ the hybrid series ~ mi5 #thrillers ~ containing #erotica  ~ or ~ the spirit trilogy\xe2\x80\xa6 https://t.co/cgdzorwvyd'
itismekedir,b'a nobel laureate whose research helped develop lithium-ion batteries said they are poised to become more powerful a\xe2\x80\xa6 https://t.co/ce98qfs2aa'
deep_quo,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
mikeastevo,"b'@pnh_hotelier @relaischateaux @palehallhotel it\xe2\x80\x99s not just about electric car chargers, which are available to use\xe2\x80\xa6 https://t.co/zwry1etuyg'"
dmlewinchicago,"b'@cbeien @greenfieldjohn @strongtowns dude, reading your comments showing why you hate cars but otherwise are fine d\xe2\x80\xa6 https://t.co/qtyazmfeiu'"
hector88037748,b'go green'
theofficepicts,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
scottdeatherage,b'fiat chrysler and peugot are considering a merger to reduce costs and to spread expense of converting to electric v\xe2\x80\xa6 https://t.co/jyrqgpy2mb'
voyagevixen,"b""rt @pluginalberta: e-bikes are great. we know several ev owners who also have gone electric on two wheels, and love it. that's why we are h\xe2\x80\xa6"""
